
 0,0
 19,0
 1,1
 45,1
 2,2
 47,2
 72,3
 3,3
 71,3
 4,4
 30,4
 50,5
 51,5
 5,5
 10,6
 20,6
 34,6
 6,6
 18,7
 7,7
 8,8
 15,8
 9,9
 42,9
 41,9
 11,10
 21,10
 12,11
 54,11
 75,12
 13,12
 65,13
 69,13
 38,13
 14,13
 17,13
 28,13
 16,14
 58,14
 53,14
 37,15
 22,15
 84,16
 23,16
 24,17
 27,17
 25,18
 83,18
 26,19
 35,19
 99,20
 29,20
 44,21
 31,21
 32,22
 73,22
 33,23
 76,23
 49,23
 40,24
 36,24
 85,25
 39,25
 91,26
 43,26
 48,27
 46,27
 52,28
 55,28
 56,29
 77,29
 57,30
 79,30
 81,31
 59,31
 74,32
 60,32
 88,33
 61,33
 78,33
 87,33
 70,34
 62,34
 67,35
 63,35
 64,36
 66,36
 80,37
 68,37
 82,38
 98,38
 90,39
 86,39
 89,40
 97,40
 96,41
 92,41
 93,41
 94,41
 95,41
 100,42
 101,42
